Post_ID,Raw_Caption,Final Status
NYC-MOCK-0001,"LOOK | The Philippines co-hosts the National Youth Parliament to strengthen data-driven strategies. Under the leadership of Chairperson Joseph Francisco Ortega, the NYC ensures that youth perspectives are embedded in disaster preparedness. #ParaSaKabataangPilipino",Accepted
NYC-MOCK-0002,"READ | NYC leads Digital Literacy for student leaders. The National Youth Commission, through the NYC Board, has emphasized the importance of inclusivity in building a empowered community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0003,"#AreaNews | SK Leaders in Quezon City completed the Leadership Accreditation. Spearheaded by the NYC Area Office, the activity equipped young leaders with knowledge on Local Youth Development Guidelines to ensure transparency and accountability. #DILGNatin",Accepted
NYC-MOCK-0004,"READ | NYC leads Mental Health Support for LGBTQIA+ youth. The National Youth Commission, through the NYC Board, has emphasized the importance of civic engagement in building a empowered community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0005,"READ | NYC leads Climate Action for LGBTQIA+ youth. The National Youth Commission, through the NYC Board, has emphasized the importance of policy advocacy in building a inclusive community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0006,"READ | NYC leads Mental Health Support for indigenous people. The National Youth Commission, through the NYC Board, has emphasized the importance of civic engagement in building a makabayan community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0007,"READ | NYC leads Digital Literacy for out-of-school youth. The National Youth Commission, through the NYC Board, has emphasized the importance of civic engagement in building a makabayan community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0008,"LOOK | The Philippines co-hosts the National Youth Parliament to strengthen data-driven strategies. Under the leadership of ASec. Michelle Mae B. Gonzales, the NYC ensures that youth perspectives are embedded in disaster preparedness. #ParaSaKabataangPilipino",Accepted
NYC-MOCK-0009,"READ | NYC leads HIV Awareness for indigenous people. The National Youth Commission, through ASec. Michelle Mae B. Gonzales, has emphasized the importance of civic engagement in building a makabayan community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0010,"#AreaNews | SK Leaders in Baguio City completed the Leadership Accreditation. Spearheaded by the NYC Area Office, the activity equipped young leaders with knowledge on SK Reform Act to ensure transparency and accountability. #DILGNatin",Accepted
NYC-MOCK-0011,"READ | NYC leads Mental Health Support for LGBTQIA+ youth. The National Youth Commission, through Chairperson Joseph Francisco Ortega, has emphasized the importance of policy advocacy in building a makabayan community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0012,"READ | NYC leads Mental Health Support for LGBTQIA+ youth. The National Youth Commission, through Chairperson Joseph Francisco Ortega, has emphasized the importance of civic engagement in building a empowered community. #ForTheFilipinoYouth #NYC",Accepted
NYC-MOCK-0013,"LOOK | The Philippines co-hosts the ASEAN Youth Forum to strengthen data-driven strategies. Under the leadership of Chairperson Joseph Francisco Ortega, the NYC ensures that youth perspectives are embedded in disaster preparedness. #ParaSaKabataangPilipino",Accepted
